A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
200131;color:Color:0;NEGRO:0;00026000000600;0;0;1;0;0
200131;color:Color:0;PLATA:0;00026000000605;0;0;1;0;0
200131;color:Color:0;VERDE:0;00026000000604;0;0;1;0;0
200131;color:Color:0;AUBERGINE:0;00026000000601;0;0;1;0;0
179746;;;00026100000051;-90;0;1;0;-60.49999999999997
179732;;;00026100000056;-336;0;1;0;-242.00000000000006
200177;acabado:Color:0;ECOPIEL NEGRA:0;00026000000649;0;0;1;1;0
200177;acabado:Color:0;ECOPIEL BLANCA:0;00026000000650;0;0;1;0;0
200177;acabado:Color:0;ECOPIEL GRIS:0;00026000000651;0;0;1;0;0
179747;;;00026100000042;50;0;1;0;36.30000000000007
179749;color:Color:0;PIEL BLANCA:0;00026100000057;0;0;1;0;0
179749;color:Color:0;PIEL NEGRA:0;00026100000058;0;0;1;0;0
179749;color:Color:0;PIEL MARRON:0;00026100000059;0;0;1;1;0
179749;color:Color:0;PIEL GRIS PERLA:0;00026100000060;0;0;1;0;0
179749;color:Color:0;PIEL GRIS PLOMO:0;00026100000061;0;0;1;0;0
179754;;;00026100000063;-110;0;1;0;-91.96000000000001
179755;color:Color:0;PIEL NEGRA:0;00026100000064;0;0;1;0;0
179755;color:Color:0;PIEL BLANCA:0;00026100000065;0;0;1;1;0
179755;color:Color:0;PIEL MARRON:0;00026100000066;0;0;1;0;0
179755;color:Color:0;PIEL GRIS PERLA:0;00026100000067;0;0;1;0;0
179755;color:Color:0;PIEL GRIS PLOMO:0;00026100000068;0;0;1;0;0
200167;acabado:Color:0;GRIS/ANTRACITA:0;00026000000639;0;0;1;1;0
200168;acabado:Color:0;GRIS/ANTRACITA:0;00026000000640;0;0;1;1;0
200167;acabado:Color:0;ARENA/CAFÉ:0;00026000000641;0;0;1;0;0
200168;acabado:Color:0;ARENA/CAFÉ:0;00026000000642;0;0;1;0;0
200171;;;00026000000643;0;0;1;1;0
200110;;;00026000000582;0;0;1;1;0
