A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
191491;acabado:Color:0;blanco:0;00008000000010;0;0;1;0;0
191492;acabado:Color:0;negro:0;00008000000011;0;0;1;0;0
191492;acabado:Color:0;blanco:0;00008000000012;0;0;1;0;0
191492;acabado:Color:0;gris plomo:0;00008000000013;0;0;1;0;0
70759;acabado:Color:0;negro:0;00009001000000;0;0;1;0;0
70759;acabado:Color:0;blanco:0;00009001000013;0;0;1;0;0
70759;acabado:Color:0;gris perla:0;00009000000000;0;0;1;0;0
70759;acabado:Color:0;chocolate:0;00009000000001;0;0;1;0;0
70759;acabado:Color:0;plomo:0;00009001000038;0;0;1;0;0
141205;;;00009001000007;0;0;1;1;0
191507;acabado:Color:0;negro:0;00009000000002;0;0;1;0;0
191507;acabado:Color:0;blanco:0;00009000000003;0;0;1;0;0
191507;acabado:Color:0;chocolate:0;00009000000004;0;0;1;0;0
154559;acabado:Color:0;grafito:0;00009001000021;0;0;1;0;0
154559;acabado:Color:0;chocolate:0;00009001000022;0;0;1;0;0
191508;acabado:Color:0;grafito:0;00009000000005;0;0;1;0;0
191508;acabado:Color:0;chocolate:0;00009000000006;0;0;1;0;0
191510;acabado:Color:0;negro:0;00009000000007;0;0;1;0;0
191510;acabado:Color:0;blanco:0;00009000000008;0;0;1;0;0
191510;acabado:Color:0;chocolate:0;00009017000002;0;0;1;0;0
191513;acabado:Color:0;blanco:0;00009000000009;0;0;1;0;0
191513;acabado:Color:0;gris perla:0;00009000000010;0;0;1;0;0
141203;acabado:Color:0;gris:0;00009001010002;0;0;1;0;0
141203;acabado:Color:0;marron:0;00009001000005;0;0;1;0;0
154540;acabado:Color:0;marron:0;00009013000001;0;0;1;0;0
154540;acabado:Color:0;gris plomo:0;00009013000002;0;0;1;0;0
154540;acabado:Color:0;gris claro:0;00009013000003;0;0;1;0;0
191516;acabado:Color:0;gris plomo:0;00009000000011;0;0;1;0;0
191516;acabado:Color:0;marron:0;00009000000012;0;0;1;0;0
191516;acabado:Color:0;gris claro:0;00009000000013;0;0;1;0;0
191517;acabado:Color:0;grafito:0;00009000000014;0;0;1;0;0
191517;acabado:Color:0;chocolate:0;00009000000015;0;0;1;0;0
154554;acabado:Color:0;gris plomo:0;00009001000016;0;0;1;0;0
154554;acabado:Color:0;negro:0;00009001000017;0;0;1;0;0
154554;acabado:Color:0;marron:0;00009001000018;0;0;1;0;0
154558;acabado:Color:0;negro:0;00009001000019;0;0;1;0;0
154558;acabado:Color:0;blanco:0;00009001000020;0;0;1;0;0
43768;acabado:Color:0;negro:0;00026057000003;0;0;1;0;0
43768;acabado:Color:0;blanco:0;00026057000004;0;0;1;0;0
43768;acabado:Color:0;gris plomo:0;00026000000370;0;0;1;0;0
43773;acabado:Color:0;negro:0;00026057000008;0;0;1;0;0
43773;acabado:Color:0;blanco:0;00026057000007;0;0;1;0;0
4131;tapizado_sofa:Color:0;POLIPIEL PU CHOCOLATE:0;00006002010000;0;0;1;0;0
4131;tapizado_sofa:Color:0;POLIPIEL PU BLANCO:0;00006002020000;0;0;1;0;0
4131;tapizado_sofa:Color:0;POLIPIEL PU BEIGE:0;00006002030000;0;0;1;0;0
4131;tapizado_sofa:Color:0;POLIPIEL PU NEGRO:0;00006002040000;0;0;1;0;0
4137;tapizado_sofa:Color:0;POLIPIEL PU CHOCOLATE:0;00006003010000;0;0;1;0;0
4137;tapizado_sofa:Color:0;POLIPIEL PU BEIGE:0;00006003030000;0;0;1;0;0
4137;tapizado_sofa:Color:0;POLIPIEL PU NEGRO:0;00006003040000;0;0;1;0;0
191376;tapizado:Color:0;NOBUCK GRIS CLARO:0;00006000000005;0;0;1;0;0
191376;tapizado:Color:0;NOBUCK ELEPHANT:0;00006000000006;0;0;1;0;0
191379;tapizado:Color:0;NOBUCK GRIS CLARO:0;00006000000007;0;0;1;0;0
191379;tapizado:Color:0;NOBUCK ELEPHANT:0;00006000000008;0;0;1;0;0
189242;tapizado:Color:0;GRIS:0;00089002000007;0;0;1;0;0
189242;tapizado:Color:0;BEIGE:0;00089002000010;0;0;1;0;0
189242;tapizado:Color:0;BLANCA:0;00089002000006;0;0;1;0;0
189243;tapizado:Color:0;AMARILLO:0;00089002000009;0;0;1;0;0
189243;tapizado:Color:0;TURQUESA:0;00089002000008;0;0;1;0;0
191508;acabado:Color:0;CUERO:0;00009001000027;4;0;1;0;0
196610;acabado:Color:0;TERCIOPELO ROSA MALVA:0;00009001000028;0;0;1;0;0
196610;acabado:Color:0;TERCIOPELO MARRON:0;00009001000029;0;0;1;0;0
196613;acabado:Color:0;TERCIOPELO VERDE ESMERALDA:0;00009001000030;0;0;1;0;0
196613;acabado:Color:0;TERCIOPELO AZUL COBALTO:0;00009001000031;0;0;1;0;0
196613;acabado:Color:0;TERCIOPELO GRIS PLATA:0;00009001000032;0;0;1;0;0
196617;acabado:Color:0;TERCIOPELO AZUL OSCURO:0;00009001000033;0;0;1;0;0
196617;acabado:Color:0;TERCIOPELO ROSA SALMON:0;00009001000034;0;0;1;0;0
196621;acabado:Color:0;CUERO:0;00009001000035;0;0;1;0;0
196621;acabado:Color:0;GRAFITO:0;00009001000036;0;0;1;0;0
196621;acabado:Color:0;CHOCOLATE:0;00009001000037;0;0;1;0;0
194601;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000514;0;0;1;0;0
194601;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000517;0;0;1;0;0
194600;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000513;0;0;1;0;0
194600;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000516;0;0;1;0;0
194599;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000512;0;0;1;0;0
194599;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000515;0;0;1;0;0
200328;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000800;0;0;1;0;0
200328;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000801;0;0;1;0;0
200330;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000802;0;0;1;0;0
200330;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000803;0;0;1;0;0
200332;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000804;0;0;1;0;0
200332;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000805;0;0;1;0;0
200334;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000806;0;0;1;0;0
200335;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000807;0;0;1;0;0
200336;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000808;0;0;1;0;0
200334;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000809;0;0;1;0;0
200335;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000810;0;0;1;0;0
200336;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000811;0;0;1;0;0
