Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
179755;Color:color:0;Marron:0;00026100000066;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/4/1/2/2/4122.jpg;;;;;
179755;Color:color:0;Gris:0;00026100000067;;;;;;;;;;;4;http://promosillas.com/tiendaonline/img/p/4/1/2/3/4123.jpg;;;;;
179755;Color:color:0;Gris:0;00026100000068;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/4/1/2/4/4124.jpg;;;;;
179762;Color:color:0;Blanco:0;00026100000071;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/9/5/4/3954.jpg;;;;;
179762;Color:color:0;Negro:0;00026100000072;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/9/5/8/3958.jpg;;;;;
179769;Color:color:0;Negro:0;00026100000079;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/8/9/4/3894.jpg;;;;;
179769;Color:color:0;Gris:0;00026100000080;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/8/9/8/3898.jpg;;;;;
179769;Color:color:0;Azul:0;00026100000081;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/3/9/0/3/3903.jpg;;;;;
179769;Color:color:0;:0;00026100000082;;;;;;;;;;;15;http://promosillas.com/tiendaonline/img/p/3/9/0/8/3908.jpg;;;;;
4131;Color:color:0;Marron:0;00006002010000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/5/8/0/3580.jpg;;;;;
4131;Color:color:0;Blanco:0;00006002020000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/5/8/4/3584.jpg;;;;;
4131;Color:color:0;Beige:0;00006002030000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/3/5/8/9/3589.jpg;;;;;
4131;Color:color:0;Negro:0;00006002040000;;;;;;;;;;;15;http://promosillas.com/tiendaonline/img/p/3/5/9/4/3594.jpg;;;;;
4137;Color:color:0;Marron:0;00006003010000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/7/9/2/3792.jpg;;;;;
4137;Color:color:0;Beige:0;00006003030000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/7/9/6/3796.jpg;;;;;
4137;Color:color:0;Negro:0;00006003040000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/3/8/0/1/3801.jpg;;;;;
4149;Color:color:0;Blanco:0;00006008050000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/1/8/3/0/1830.jpg;;;;;
4149;Color:color:0;Negro:0;00006008060000;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/1/8/3/2/1832.jpg;;;;;
4149;Color:color:0;Rojo:0;00006008070000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/1/8/3/4/1834.jpg;;;;;
4153;Color:color:0;Blanco:0;00006009050000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/1/8/3/7/1837.jpg;;;;;
4153;Color:color:0;Negro:0;00006009060000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/1/8/4/1/1841.jpg;;;;;
4153;Color:color:0;Rojo:0;00006009070000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/1/8/4/6/1846.jpg;;;;;
4164;Color:color:0;Blanco:0;00008001010000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/3/7/3/3373.jpg;;;;;
4164;Color:color:0;Marron:0;00008001000013;;;;;;;;;;;2;http://promosillas.com/tiendaonline/img/p/3/3/6/9/3369.jpg;;;;;
43768;Color:color:0;Negro:0;00026057000003;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/1/8/1/5/1815.jpg;;;;;
43768;Color:color:0;Blanco:0;00026057000004;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/1/8/1/9/1819.jpg;;;;;
43768;Color:color:0;:0;00026000000370;;;;;;;;;;;11;http://promosillas.com/tiendaonline/img/p/1/8/2/4/1824.jpg;;;;;
43773;Color:color:0;Blanco:0;00026057000008;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/1/8/0/9/1809.jpg;;;;;
43773;Color:color:0;Negro:0;00026057000007;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/1/8/0/5/1805.jpg;;;;;
54733;Color:color:0;Blanco:0;00011008020000;;;;;;;;;;;3;http://promosillas.com/tiendaonline/img/p/1/9/0/1/6/19016.jpg;;;;;
54733;Color:color:0;:0;00011008020001;;;;;;;;;;;6;http://promosillas.com/tiendaonline/img/p/1/9/0/2/0/19020.jpg;;;;;
54733;Color:color:0;Negro:0;00011008050000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/1/9/0/2/4/19024.jpg;;;;;
54737;Color:color:0;Blanco:0;00011009050000;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/1/7/9/5/1795.jpg;;;;;
54737;Color:color:0;Gris:0;00011009050001;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/1/8/0/0/1800.jpg;;;;;
54737;Color:color:0;Negro:0;00011000000019;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/1/7/9/1/1791.jpg;;;;;
65593;Color:color:0;Negro:0;00008007000000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/7/7/7/3777.jpg;;;;;
65593;Color:color:0;Blanco:0;00008007010001;;;;;;;;;;;5;http://promosillas.com/tiendaonline/img/p/3/7/8/1/3781.jpg;;;;;
65593;Color:color:0;Marron:0;00008007080000;;;;;;;;;;;10;http://promosillas.com/tiendaonline/img/p/3/7/8/6/3786.jpg;;;;;
69237;Color:color:0;:0;00089001000000;;;;;;;;;;;1;http://promosillas.com/tiendaonline/img/p/3/7/2/3/3723.jpg;;;;;
