,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1550,Talla:select:0,L:0,0,500,1
1550,Talla:select:0,XL:0,0,500,1
1550,Talla:select:0,XXL:0,0,500,1
1551,Talla:select:0,XS:0,0,500,1
1551,Talla:select:0,S:0,0,500,1
1551,Talla:select:0,M:0,1,500,1
1551,Talla:select:0,L:0,0,500,1
1551,Talla:select:0,XL:0,0,500,1
1551,Talla:select:0,XXL:0,0,500,1
1552,Talla:select:0,XS:0,0,500,1
1552,Talla:select:0,S:0,0,500,1
1552,Talla:select:0,M:0,1,500,1
1552,Talla:select:0,L:0,0,500,1
1552,Talla:select:0,XL:0,0,500,1
1552,Talla:select:0,XXL:0,0,500,1
1553,Talla:select:0,XS:0,0,500,1
1553,Talla:select:0,S:0,0,500,1
1553,Talla:select:0,M:0,1,500,1
1553,Talla:select:0,L:0,0,500,1
1553,Talla:select:0,XL:0,0,500,1
1553,Talla:select:0,XXL:0,0,500,1
1554,Talla:select:0,XS:0,0,500,1
1554,Talla:select:0,S:0,0,500,1
1554,Talla:select:0,M:0,1,500,1
1554,Talla:select:0,L:0,0,500,1
1554,Talla:select:0,XL:0,0,500,1
1554,Talla:select:0,XXL:0,0,500,1
1555,Talla:select:0,XS:0,0,500,1
1555,Talla:select:0,S:0,0,500,1
1555,Talla:select:0,M:0,1,500,1
1555,Talla:select:0,L:0,0,500,1
1555,Talla:select:0,XL:0,0,500,1
1555,Talla:select:0,XXL:0,0,500,1
1556,Talla:select:0,XS:0,0,500,1
1556,Talla:select:0,S:0,0,500,1
1556,Talla:select:0,M:0,1,500,1
1556,Talla:select:0,L:0,0,500,1
1556,Talla:select:0,XL:0,0,500,1
1556,Talla:select:0,XXL:0,0,500,1
1557,Talla:select:0,XS:0,0,500,1
1557,Talla:select:0,S:0,0,500,1
1557,Talla:select:0,M:0,1,500,1
1557,Talla:select:0,L:0,0,500,1
1557,Talla:select:0,XL:0,0,500,1
