Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
244;1;Sillas oficina;240;0;Sillas oficina;sillas-oficina;sillas-oficina;sillas-oficina;sillas-oficina;http://www.phpandfriends.com/imagenes_csv/categoria.png
245;1;Sillas gaming;240;0;Sillas gaming;sillas-gaming;sillas-gaming;sillas-gaming;sillas-gaming;http://www.phpandfriends.com/imagenes_csv/categoria.png
246;1;Sillas de escritorio;240;0;Sillas de escritorio;sillas-de-escritorio;sillas-de-escritorio;sillas-de-escritorio;sillas-de-escritorio;http://www.phpandfriends.com/imagenes_csv/categoria.png
247;1;Sillas bar;240;0;Sillas bar;sillas-bar;sillas-bar;sillas-bar;sillas-bar;http://www.phpandfriends.com/imagenes_csv/categoria.png
248;1;Sillas ergonomicas;240;0;Sillas ergonomicas;sillas-ergonomicas;sillas-ergonomicas;sillas-ergonomicas;sillas-ergonomicas;http://www.phpandfriends.com/imagenes_csv/categoria.png
249;1;Sillas giratorias;240;0;Sillas giratorias;sillas-giratorias;sillas-giratorias;sillas-giratorias;sillas-giratorias;http://www.phpandfriends.com/imagenes_csv/categoria.png
250;1;Sillas operativas;240;0;Sillas operativas;sillas-operativas;sillas-operativas;sillas-operativas;sillas-operativas;http://www.phpandfriends.com/imagenes_csv/categoria.png
251;1;Sillones de oficina;240;0;Sillones de oficina;sillones-de-oficina;sillones-de-oficina;sillones-de-oficina;sillones-de-oficina;http://www.phpandfriends.com/imagenes_csv/categoria.png
252;1;Taburetes;240;0;Taburetes;taburetes;taburetes;taburetes;taburetes;http://www.phpandfriends.com/imagenes_csv/categoria.png
253;1;Sillas confidente;240;0;Sillas confidente;sillas-confidente;sillas-confidente;sillas-confidente;sillas-confidente;http://www.phpandfriends.com/imagenes_csv/categoria.png
254;1;Sofas recepcion;240;0;Sofas recepcion;sofas-recepcion;sofas-recepcion;sofas-recepcion;sofas-recepcion;http://www.phpandfriends.com/imagenes_csv/categoria.png
255;1;Sillones relax;240;0;Sillones relax;sillones-relax;sillones-relax;sillones-relax;sillones-relax;http://www.phpandfriends.com/imagenes_csv/categoria.png
256;1;Sillas para mesa reunion;240;0;Sillas para mesa reunion;sillas-para-mesa-reunion;sillas-para-mesa-reunion;sillas-para-mesa-reunion;sillas-para-mesa-reunion;http://www.phpandfriends.com/imagenes_csv/categoria.png
257;1;Sillas ordenador;240;0;Sillas ordenador;sillas-ordenador;sillas-ordenador;sillas-ordenador;sillas-ordenador;http://www.phpandfriends.com/imagenes_csv/categoria.png
258;1;Sillas visita;240;0;Sillas visita;sillas-visita;sillas-visita;sillas-visita;sillas-visita;http://www.phpandfriends.com/imagenes_csv/categoria.png
259;1;Sillas para escuelas;240;0;Sillas para escuelas;sillas-para-escuelas;sillas-para-escuelas;sillas-para-escuelas;sillas-para-escuelas;http://www.phpandfriends.com/imagenes_csv/categoria.png
