ID,Active (0/1),Name *,Parent category,Root category (0/1),Meta title,Meta description,URL rewritten
203,1,Toalla,73,0,Toallas impresas en 3D,Toallas y más artículos impresos en 3D para tu hogar.,toallas-impresas-en-3d
204,1,Mantas,73,0,Mantas impresas en 3D,Mantas y más artículos impresos en 3D para tu hogar.,mantas-impresas-en-3d
206,1,Posters,73,0,Posters impresas en 3D,Posters y más artículos impresos en 3D para tu hogar.,posters-impresos-en-3d
207,1,Bikinis,71,0,Bikinis impresos en 3D Full-printing,Bikinis impresos en 3D. Únete a la revolución y compra ropa full-printing única con diseños exclusivos.,bikinis-full-printing-3d
208,1,Chanclas,73,0,Chanclas impresas en 3D Full-printing,Chanclas impresas en 3D. Únete a la revolución y compra ropa full-printing única con diseños exclusivos.,chanclas-full-printing-3d
209,1,Cortinas de Baño,73,0,Cortinas de Baño impresas en 3D,Cortinas de Baño y más artículos impresos en 3D para tu hogar.,cortinas-de-bano-impresas-en-3d
250,1,Bañador,70,0,Bañadores impresos en 3D,Bañadores de hombre.,bañadores-en-3d
251,1,Camisa,70,0,Camisas impresos en 3D,Camisas de hombre.,camisas-en-3d
252,1,Polos,70,0,Polos impresos en 3D,Polos de hombre.,polos-en-3d
