Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Reference #;EAN13;Weight;Quantity;Minimal quantity;Text when in stock;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);en oferta;valor dto;desde dto;Image URLs (x,y,z...);Feature(Name:Value:Position);hasta dto;Description
179691;1;Silla eco2;250, 257;0;1;;;4;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Practica y funcional, una silla muy completa apta para su uso tanto en el hogar como la oficina. Disponible en varios colores y equipada con mecanismo asyncron que permite regular de forma independiente la inclinacion del respaldo y del asiento. Se envía sin montar. Instrucciones sencillas y todos los herrajes y tornillería incluidos.
179696;1;Silla air;250, 257;0;1;;;4;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;coleccion:AIR:0;10/01/2020;Se trata de una silla muy completa con un precio espectacular. El respaldo es comodo y robusto, con un embellecedor cromado en la parte posterior que le da un estilo muy elegante. Se envía sin montar. Instrucciones sencillas y todos los herrajes y tornillería incluidos.
200180;1;Silla air blanca;250, 257;0;1;26000000652;;4;0;1;En Stock;1;1;1;-109;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Se trata de una silla muy completa con un precio espectacular. El respaldo es comodo y robusto, con un embellecedor cromado en la parte posterior que le da un estilo muy elegante. Se envía sin montar. Instrucciones sencillas y todos los herrajes y tornillería incluidos.
179700;1;Silla acer red;250, 257, 256;0;1;;;4;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Precioso sillon de diseno, apto para uso profesional o domestico.Dispone de un sistema sincronizado, el movimiento del respaldo y asiento se produce simultáneamente.Disponible en 3 acabados: : simil piel negra, red negra o red blanca. Tambien esta disponible también en varias medidas.
179702;1;Silla acer red alta;250, 257;0;1;;;4;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Precioso sillon de diseno, apto para uso profesional o domestico.Dispone de un sistema sincronizado, el movimiento del respaldo y asiento se produce simultáneamente.Disponible en 3 acabados: : simil piel negra, red negra o red blanca. Tambien esta disponible también en varias medidas.
179703;1;Silla acer ecopiel ;250, 257;0;1;26100000013;;4;0;1;En Stock;1;1;1;-139;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Precioso sillon de diseno, apto para uso profesional o domestico.Dispone de un sistema sincronizado, el movimiento del respaldo y asiento se produce simultáneamente.Disponible en 3 acabados: : simil piel negra, red negra o red blanca. Tambien esta disponible también en varias medidas.
179704;1;Silla acer ecopiel baja;250, 257, 256;0;1;26100000014;;4;0;1;En Stock;1;1;1;-135;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;Precioso sillon de diseno, apto para uso profesional o domestico.Dispone de un sistema sincronizado, el movimiento del respaldo y asiento se produce simultáneamente.Disponible en 3 acabados: : simil piel negra, red negra o red blanca. Tambien esta disponible también en varias medidas.
200082;1;Sillon slim red alto;250, 257, 251;0;1;;;8;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;El sillón de oficina slim destaca indudablemente  por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual. su tapizado en malla 100% transpirable es especialmente resistente, a la vez que favorece una óptima ventilación. .Este modelo supera a otras versiones más sencillas del mercado, gracias a la calidad de sus componentes y a sus prestaciones tecnicas.
200084;1;Sillon slim red bajo;250, 257, 256;0;1;;;8;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;El sillón de oficina slim destaca indudablemente  por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual. su tapizado en malla 100% transpirable es especialmente resistente, a la vez que favorece una óptima ventilación. .Este modelo supera a otras versiones más sencillas del mercado, gracias a la calidad de sus componentes y a sus prestaciones tecnicas.
200079;1;Sillon slim alto;250, 257, 251;0;1;;;8;0;1;En Stock;1;1;1;#¡VALOR!;01/01/2018;http://www.phpandfriends.com/imagenes_csv/producto.png;;10/01/2020;El sillón de oficina slim destaca indudablemente  por su diseño. Nos encontramos ante una línea realmente atractiva, elegante y actual. Su tapizado en simil piel es muy suave y elegante.Este modelo supera a otras versiones más sencillas del mercado, gracias a la calidad de sus componentes y a sus prestaciones tecnicas.
