ID,Active (0/1),Name *,Parent category,Root category (0/1),Meta title,Meta description,URL rewritten
203,1,Serviettes de plage,73,0,serviettes de plage imprimés en 3D,serviettes de plage et plus d'articles imprimés en 3D pour la maison.,serviettes-de-plage-imprimes-en-3d
204,1,Couvertures,73,0,Couvertures imprimés en 3D,Couvertures et plus d'articles imprimés en 3D pour la maison.,couvertures-imprimes-en-3d
209,1,Rideaux de Douche,73,0,Rideaux de Douche imprimés en 3D,Rideaux de Douche et plus d'articles imprimés en 3D pour la maison.,rideaux-de-douche-imprimes-en-3d
206,1,Posters,71,0,Posters imprimés en 3D,Posters et plus d'articles imprimés en 3D pour la maison.,posters-imprimes-en-3d
207,1,Maillots de Bain,73,0,Maillots de Bain pour femmes imprimés en 3D | Tedclothing,Vêtements 3D. Designs hyperréalistes. Rejoignez la révolution 3D et habillez des vêtemens uniques.,maillots-de-bain-imprime-femmes-3d
208,1,Tongs,73,0,Tongs imprimés en 3D,Tongs et plus d'articles imprimés en 3D pour la maison.,Tongs-imprimes-en-3d
250,1,Maillot de bain,70,0,Maillot de bain 3D Full-printed,Maillot 3D Full-printed,maillot-3d-printed
251,1,Shirt,70,0,Chemise 3D Full-printed,Chemise 3D Full-printed,chemise-3d-printed
252,1,Polos Shirt,70,0,Polo Chemise 3D Full-printed,Polo Chemise Shirt 3D Full-printed,polo-chemise-3d-printed
