ID del producto,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
3825,Talla:select:0,XS:0,0,500,1
3825,Talla:select:0,S:0,0,500,1
3825,Talla:select:0,M:0,1,500,1
3825,Talla:select:0,L:0,0,500,1
3825,Talla:select:0,XL:0,0,500,1
3825,Talla:select:0,XXL:0,0,500,1
3826,Talla:select:0,XS:0,0,500,1
3826,Talla:select:0,S:0,0,500,1
3826,Talla:select:0,M:0,1,500,1
3826,Talla:select:0,L:0,0,500,1
3826,Talla:select:0,XL:0,0,500,1
3826,Talla:select:0,XXL:0,0,500,1
3827,Talla:select:0,XS:0,0,500,1
3827,Talla:select:0,S:0,0,500,1
3827,Talla:select:0,M:0,1,500,1
3827,Talla:select:0,L:0,0,500,1
3827,Talla:select:0,XL:0,0,500,1
3827,Talla:select:0,XXL:0,0,500,1
3828,Talla:select:0,XS:0,0,500,1
3828,Talla:select:0,S:0,0,500,1
3828,Talla:select:0,M:0,1,500,1
3828,Talla:select:0,L:0,0,500,1
3828,Talla:select:0,XL:0,0,500,1
3828,Talla:select:0,XXL:0,0,500,1
3829,Talla:select:0,XS:0,0,500,1
3829,Talla:select:0,S:0,0,500,1
3829,Talla:select:0,M:0,1,500,1
3829,Talla:select:0,L:0,0,500,1
3829,Talla:select:0,XL:0,0,500,1
3829,Talla:select:0,XXL:0,0,500,1
3830,Talla:select:0,XS:0,0,500,1
3830,Talla:select:0,S:0,0,500,1
3830,Talla:select:0,M:0,1,500,1
3830,Talla:select:0,L:0,0,500,1
3830,Talla:select:0,XL:0,0,500,1
3830,Talla:select:0,XXL:0,0,500,1
3831,Talla:select:0,XS:0,0,500,1
3831,Talla:select:0,S:0,0,500,1
3831,Talla:select:0,M:0,1,500,1
3831,Talla:select:0,L:0,0,500,1
3831,Talla:select:0,XL:0,0,500,1
3831,Talla:select:0,XXL:0,0,500,1
3832,Talla:select:0,XS:0,0,500,1
3832,Talla:select:0,S:0,0,500,1
3832,Talla:select:0,M:0,1,500,1
3832,Talla:select:0,L:0,0,500,1
